CREATED DUMMY DATA --> http://filldb.info/dummy/

INSERT INTO USERS (FIRST_NAME, LAST_NAME, USERNAME, EMAIL, PASSWORD, STREET_NAME, CITY_NAME, ZIPCODE,COUNTRY) VALUES
('Declan','Schowalter','jacynthe.dicki','franco.considine@example.org','1a9fad49040306db76b04033dc1d8e2ec9170751','aliquam','Nikolausland','mumt','281896254'), 
('Mara','Paucek','rolfson.karolann','padberg.wilma@example.net','39cf1f4ce8d62505ec3e06e36830b84154897aab','voluptatem','Willfurt','ucmo','35917669'), 
('Ezekiel','Mohr','djacobs','windler.bryon@example.net','714149f5e5e26b442844b1e12e579e50c104883c','dolorum','South Edmondshire','yamp','88547'), 
('Esmeralda','Carroll','murray.miracle','slangworth@example.com','fbdaafe4e74c0c8818a2759a4c76832265d2ffed','numquam','New Hector','ejsi','900193'), 
('Darlene','Schuppe','aditya19','kautzer.tessie@example.net','51e676c842f8dceee25e2899827ef963fdfe9090','perspiciatis','Port Neomaburgh','vyqx','83'), 
('Hoyt','Trantow','lennie15','fredy.satterfield@example.com','785e5834fcd80592521a37755956d9220441489b','voluptas','Trevaview','ggds','840894'), 
('Dandre','Kertzmann','rudolph08','price.vivien@example.net','f07786a70cc41515b2dd3cf797eb5d31562262a3','laudantium','West Eugene','qwoq','5531'), 
('Brianne','Barrows','streich.susie','alockman@example.com','81f9cbc9a9239ed1e44f7f5db86dff428acf1845','eius','Luettgenberg','ibef',''), 
('Kole','Dooley','francesca24','rogahn.alexander@example.com','94371de0897842ca0275c7cb491c871ce0048b1f','et','Dooleyland','khgr',''), 
('Bernita','Goyette','yadira.bernhard','dwight87@example.org','b8a4268fa33a63aac819855ad28950eb99ce5881','pariatur','Trompfurt','clrl','832480'), 
('Everett','Jerde','ben.ortiz','everette05@example.org','5f861699c973e95d927b9f23d0173837e6b24244','sit','Hettingerland','jiwj','228246659'), 
('Davon','Roberts','xemmerich','pamela67@example.com','9662f7b2fac388b8291458199a3fc12f289e68bc','consequatur','Gennarohaven','pmzs','606562'), 
('Verda','Hansen','kunde.broderick','junior42@example.net','c545d251ba5ecc144533bc7f95cf1e240e4b4129','ea','Claireberg','saeq','677874'), 
('Owen','Weimann','ullrich.tyrel','ngerhold@example.com','716635b15b7df740e2971122e8ed274dd3930ad2','facilis','East Timmyton','wgma','4027'), 
('Adrianna','Witting','nicolette.hamill','isabella28@example.net','eca02ba0ab00e0e07db0784604645e705976b607','accusantium','New Aileen','wuch','11636'), 
('Abagail','Hartmann','jayson.walker','ullrich.kayden@example.org','a70e40262586a2a14ee258c20c59fe70b0d61dbb','dolor','Morarburgh','mnfq','39293'), 
('Julia','Turcotte','kprohaska','iconn@example.com','339676fce3a606f17468cba05f3ca5e0b9e39855','expedita','Nellieton','fzlm','82085323'), 
('Gussie','Roob','pterry','kshlerin.clement@example.net','9765531764280aca3685e7762034abd817ab9d7c','eum','Pagacport','fzdu','8210272'), 
('Ewell','Wyman','don.waters','larson.rogelio@example.org','6cf0478d26412bb178964d968bbc4cf05da556b1','rerum','Gonzalohaven','uzgc',''), 
('Monica','Ratke','hulda.jacobi','stremblay@example.org','2dbcab8e34fb19fe053e11e64cdbe2954fc247cb','occaecati','West Lamarbury','jalo','94119'), 
('Buddy','Ratke','jerald13','rzulauf@example.net','5ff1134c7e278970ea2da00799bce59ed7af4469','fuga','Pfannerstillmouth','foin','536656645'), 
('Antonetta','Kihn','katrina08','frodriguez@example.org','c61eac226470f20bd8bbaa881270ebc119cf8234','qui','New Sid','likm','946656683'), 
('Clare','Herzog','mschmitt','mkerluke@example.net','859615696a18a2e7b916a4e387a78788c3304fba','molestias','East Elsafurt','gssg','87005179'), 
('Winnifred','Feest','marquis18','icorkery@example.com','86858d8ff6a3ee981cea66fbeacc09a943d2aeef','veritatis','Cronaview','rufq','291'), 
('Sammy','Jones','modesto.johns','giovanny.brekke@example.net','536105506cf6f3e9fd109c6f209e1a5bc9b16144','illo','New Idell','ancx','428'), 
('Trinity','Thiel','aeffertz','zackery30@example.org','94031450e3dc6dc5c396904e417ff384527cf4af','qui','North Rollinmouth','cfjp','36'), 
('Talia','Gutkowski','olebsack','xorn@example.com','9648e624a14187f6b5be5c7eea9e87301d5c28d8','consequatur','Lake Lelia','mxwg','74749'), 
('Jessica','Kuhic','ruthie.tromp','drake.olson@example.com','5926eafe0aecf6236ebafd511f8e6b06d999e117','quia','Dorrisville','rexf','626080'), 
('Terrill','Mueller','swaniawski.jayda','susana64@example.org','0725308823033284c542914bde65ab2fc05fc55d','quaerat','Port Orin','vyan','8'), 
('Mohamed','Tillman','kessler.zoey','ford.haley@example.net','a5b3232dcd2edde17d977a574da12a6c968cb66e','et','Goldnerberg','sndd','417');

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

INSERT INTO PRODUCT (TITLE, DESCRIPTION, KEYWORD, PRICE_PER_DAY) VALUES 
('Aut inventore incidu','Enim beatae quasi veritatis quam et. Dolorem amet ratione repudiandae sed quam debitis in fugiat. Sunt eos at voluptas accusamus voluptatibus. Odit est fugiat non ratione id non unde.','Bike',10.7007), 
('Quos exercitationem ','Voluptates fugiat ea perspiciatis deserunt. Laboriosam aut sequi dolores beatae. Autem non quasi laudantium omnis.','Cooking',1489.307919), 
('Vero et quas illum e','Adipisci aut dolorum voluptatem et odio dolores. Cupiditate magni alias reprehenderit vel consequuntur. Officia nihil delectus dicta totam aut voluptatem.','Cooking',0), 
('Ut ut expedita id vo','Aut quisquam sit quod deleniti perferendis doloribus. Eveniet harum dolore est eaque repellat est dolor temporibus. Voluptatibus eaque totam quidem dolor voluptate. Praesentium amet quis quia non animi.','Bike',40527), 
('Nihil vel aut et cum','Dignissimos quis harum quas quisquam esse voluptatem id. Cumque quia exercitationem ipsum ex aliquam ducimus labore. Rerum nemo qui vero ut voluptatibus. Delectus dolor ab sed quisquam. Facere doloremque consequatur quia molestiae sit ipsum.','Cooking',0.5771), 
('Sit sit nam corporis','Sunt perferendis id officia aliquam quae voluptatibus. Quasi esse natus fuga neque qui dolorem. Quia dolorem qui harum enim voluptas. Dolorum et aspernatur voluptates exercitationem sed quam tenetur delectus.','Bike',39361394.142118), 
('Voluptas est veritat','Dolores inventore reiciendis deserunt consequatur rerum eum quibusdam ex. Excepturi nihil tempora rem ducimus temporibus. Quos velit cupiditate omnis deleniti voluptatibus voluptas veniam. Placeat rerum animi est voluptate possimus eaque molestiae.','Cooking',1.8), 
('Voluptates perspicia','Laborum qui veritatis omnis possimus commodi voluptate. Id qui consequatur est quia itaque sint incidunt. Qui tempora omnis commodi quia provident eos ex nobis.','Bike',730741.86357), 
('Illo velit sequi et ','Vero illum consequatur quam illo amet. Repellendus blanditiis et et.','Cooking',12306490.399358), 
('Omnis iusto eaque as','Dolorem et quam recusandae quo temporibus. Vero consectetur optio optio ut quae. Culpa voluptates sit odio quisquam dolorem.','Car',4263757.84), 
('Ut magnam recusandae','Numquam sunt sequi minima eaque eaque. Consequuntur et qui quae fugiat sit odio alias. Quia non molestias qui consequatur.','Cooking',42158.06192), 
('Sint veniam minima q','Ut esse maxime quo distinctio beatae nobis. Occaecati atque similique unde nisi. Beatae consectetur excepturi sequi.','Cooking',9171.22), 
('Vel aut corrupti dol','Qui itaque illum doloremque ad deleniti itaque saepe. Delectus aspernatur maiores vel. Odit quam nulla autem consequatur sunt praesentium libero.','Cooking',0), 
('Est magni similique ','Sint facere tempore officiis ut sunt. Ut qui voluptas cupiditate nostrum sit illum aut. Excepturi ut consequuntur rerum earum quam. Sit qui voluptatem occaecati velit corporis corrupti.','Cooking',4335156.61), 
('Et assumenda dolor d','Vel quos tenetur cumque et exercitationem odit aut. Cumque ad consectetur quasi quidem ad asperiores praesentium. Qui aut omnis ipsam sit nulla. Nesciunt quia deleniti porro quis cupiditate dignissimos.','Cooking',273.18), 
('Sunt architecto nemo','Quas quidem tempora qui deleniti vitae vel. Perspiciatis nam repudiandae nihil sed. Totam ab cum accusantium qui quaerat tenetur cupiditate.','Car',32710.551618488), 
('Ipsam beatae et sunt','Quo sit quia quia sint quia qui. Sint dolores ex dolores rerum.','Bike',30464.698956662), 
('Perferendis vel quia','Dolore illo rerum nobis officiis voluptates. Molestias et reprehenderit quaerat. Dolorem accusamus totam sint magni voluptas voluptates omnis.','Cooking',0), 
('Autem est voluptatem','Omnis voluptas omnis ipsum quibusdam rerum. Sunt perspiciatis asperiores minima omnis unde. Non tenetur magnam ut aut corrupti labore voluptatem aut.','Bike',3.3988), 
('Maxime doloribus atq','Repellat totam esse delectus fugiat provident. Sapiente repudiandae nesciunt tempora doloremque nostrum quos reiciendis. Accusamus magnam quod in ex.','Bike',0), 
('Odit reprehenderit q','Itaque et omnis omnis voluptatibus dolor. Eos dolorem ut quis natus suscipit. Animi atque accusantium accusantium repellendus natus. Placeat consectetur vel in eos cum voluptatem.','Cooking',3.337), 
('Animi nemo autem ali','Vel qui aut velit temporibus. Ut et reprehenderit labore omnis voluptas et.','Bike',197532), 
('Corrupti soluta modi','Eum quam labore necessitatibus provident quo reprehenderit. Recusandae sit quia ratione. Aliquam quia est adipisci quia.','Bike',7597752.2), 
('Placeat expedita har','Exercitationem ut explicabo sed sunt. Vitae non dolorem minima. Nesciunt impedit quasi quasi quo soluta in. Mollitia distinctio reiciendis natus facere aut nisi nihil. Voluptatibus possimus odit magni itaque ullam.','Board Game',3258.784715101), 
('Minima rerum praesen','Quasi eum repellat dicta autem et sunt ut. Non dolores voluptatibus ab. Nemo aut est aliquam voluptatem accusantium. Aperiam voluptatibus porro recusandae aliquid officia.','Cooking',24576614.78), 
('Autem voluptatem cor','Velit vel et magnam ratione. Reprehenderit quos minus dolor aut aliquam officiis molestias. Error rerum iste nisi quos dolor.','Bike',47650389.8), 
('Enim dolor est corpo','Quos qui et quos magnam reiciendis consequatur. Est perferendis expedita at quo nesciunt omnis. Distinctio eius nesciunt atque occaecati quidem veniam.','Bike',421.5597629), 
('Non alias provident ','Aut tenetur ipsum sit ducimus amet consequatur quas. Odit optio dolorem a. Est autem cupiditate et quis dolorum commodi. Accusantium officia placeat culpa recusandae eos eius in.','Cooking',2.63549973), 
('Ut aut eum atque et ','Rerum qui ea est voluptatibus. Earum commodi facilis ullam tenetur. Exercitationem veritatis laboriosam ut fugiat aliquid provident autem suscipit.','Bike',130659.23707349), 
('Quo commodi saepe qu','Quo quia et aut qui necessitatibus nulla asperiores. Molestiae quae laboriosam dolores nulla est qui. Velit autem ducimus neque non. Nihil quis soluta aut quisquam laborum. In blanditiis tenetur repellat nihil ut placeat.','Cooking',89696153), 
('Eos quibusdam et nis','Adipisci voluptas pariatur provident a. Praesentium dolores pariatur ea.','Bike',4084920), 
('Et necessitatibus sa','Neque et sit nesciunt non accusantium sed aliquam. Facere rerum adipisci voluptatibus aliquid natus aspernatur adipisci tempora. Libero quos non nostrum. Recusandae voluptatem ipsam dolores vero.','Cooking',1482), 
('Numquam velit dolore','In quisquam in molestiae nostrum nulla. Qui quo officia officia deleniti sit accusamus odio. Qui qui ad ab quia reprehenderit sunt. Amet non eum tempora.','Bike',1290.25), 
('Velit incidunt ut vo','Ut velit iusto sint modi consequatur blanditiis. Beatae dolorum molestias at sed culpa. Quo est ad quia id et.','Bike',12138.65754), 
('Voluptatum sed et pe','Hic voluptas mollitia ut ex ad iste. Eos et nihil ut soluta quibusdam veritatis nobis voluptas. Temporibus rerum ut vitae.','Bike',280374.705075), 
('Sit deleniti accusan','Est nostrum vel id in. Enim voluptatibus quod laudantium ullam et. Et animi quia consequatur cupiditate. Eum est hic facilis est tempore id consequatur.','Bike',212.43), 
('Ut ut reprehenderit ','Nihil omnis eaque beatae temporibus aut mollitia. Minus delectus aut assumenda voluptatibus maxime laudantium numquam. Voluptatibus dolore corrupti occaecati sit placeat quisquam. Culpa aspernatur velit aliquam distinctio.','Cooking',0), 
('Deserunt beatae libe','In id placeat sed quo sint reprehenderit atque. Eligendi quia incidunt fuga magnam ipsam nostrum aut temporibus. Debitis commodi ratione est qui. Sed dolores ullam voluptates aut.','Car',0), 
('Molestiae mollitia e','Ipsa saepe voluptatum ut voluptatem ut laborum consectetur. Distinctio occaecati consectetur adipisci provident. Et perferendis ipsum illo sint illum fuga.','Board Game',852104.48972), 
('Voluptatibus deserun','Quasi ipsam iure laboriosam ut consequatur. Repudiandae animi velit voluptatem et cum ratione. Consequatur optio impedit placeat et placeat.','Cooking',2.555), 
('Ea accusamus sint te','Similique voluptatibus ratione consequatur vitae sed nesciunt. Nisi non consectetur dolor repellendus praesentium quibusdam consequatur odio. Nihil dicta voluptatem vel aut voluptas accusamus. At ut rerum deleniti sit sint earum consequuntur.','Cooking',15075.523228033), 
('Optio modi voluptas ','Sed doloribus eos cum fugiat dolores. Necessitatibus sint et enim itaque assumenda. Recusandae non voluptatem qui quo aut vel.','Bike',11.288), 
('Ab eaque ex amet sus','Rem et sequi optio. Cupiditate iste vel qui non. Quis provident occaecati sunt nam reprehenderit. Ab quia qui ut reiciendis illum corporis voluptas.','Bike',717636924.05206), 
('Ipsa ea praesentium ','Quisquam molestiae consequatur explicabo quis non et. Est aspernatur sapiente est voluptatem animi.','Bike',4.72), 
('Eum modi vitae est f','Vero sit corrupti quibusdam maxime pariatur voluptas tempora consequuntur. Ipsam autem aut ut pariatur ex dolorem commodi. Ut unde aliquid asperiores mollitia. Nobis incidunt quod et ut laboriosam qui.','Bike',287029.76571826), 
('Delectus in ut exerc','Magnam incidunt inventore voluptatem. Dolor qui autem ad itaque. Doloremque qui autem odio perferendis ea aspernatur qui.','Cooking',268384027.86883), 
('Dolor ex harum debit','Commodi commodi minima incidunt aspernatur nemo. Repellat magni autem animi. Sint corporis voluptate quos eum nostrum illo.','Bike',11280.04671738), 
('Hic fugit enim quaer','Neque ut quidem hic. Voluptate recusandae aliquid occaecati impedit et hic est. Quo odit sit qui omnis.','Bike',7423.23), 
('Sed rerum quo consec','Voluptas earum ipsum ea sint eius dolores sed. Deleniti tempora ipsum quas officiis. Ea non sed sed cum necessitatibus.','Board Game',252.803), 
('Autem molestias veli','Perferendis perspiciatis ea reiciendis atque tempora assumenda. Dolor sunt voluptatem consectetur voluptates veritatis exercitationem. Sint quod dolorem asperiores sint dolor. Quia voluptatem aut et cupiditate illo ea quis.','Car',25162.1694137), 
('Molestiae veritatis ','Vitae adipisci rerum quibusdam error. Sit et praesentium quos sed qui. Aperiam quidem voluptatem voluptas nam sit id.','Bike',90.8), 
('Laboriosam veritatis','Aliquam quia ea id sunt in consectetur placeat minima. Omnis deserunt quia culpa sapiente itaque occaecati. Assumenda dolore quidem quas corrupti quo.','Cooking',6.118107), 
('Molestiae numquam al','Ipsa vel ex eius itaque repellat qui. Qui quia hic aut ullam quod sit. Cumque mollitia accusamus blanditiis rerum. Aut est officiis quae officia qui.','Cooking',19978.45), 
('Ut aut repellendus v','Hic minima corrupti magnam doloremque. Molestias cumque officia fuga enim inventore non dicta.','Bike',73354.35879085), 
('Recusandae praesenti','Iure unde et sed ut autem dolores. Dolores suscipit sed quo eligendi ea laudantium. Aut nihil consequuntur sit aut. Tempore maiores quis vel temporibus at repellat sit.','Cooking',634756.3498022), 
('Nihil nemo quae temp','Adipisci illum consequuntur repudiandae inventore. Sit placeat ad consectetur illo vitae commodi debitis. Aut vitae reprehenderit et aut amet voluptatem temporibus.','Car',4096.032), 
('Et libero dicta perf','Sunt dicta debitis velit quia sint. Dolorem nobis ab facere qui exercitationem quibusdam asperiores enim. Sit perspiciatis sint repudiandae rerum.','Cooking',0), 
('Officiis sed volupta','Voluptatem quo dolorum id officia officia ea nisi. Voluptatum aut architecto corrupti.','Bike',115179.28909936), 
('Repellendus corporis','Odit et et accusantium id sunt. Expedita optio quis fugiat accusantium porro. Perferendis enim quidem impedit quidem molestiae.','Cooking',997413.76355523), 
('Neque ab harum conse','Eligendi necessitatibus suscipit aut dignissimos non dolore. Quaerat suscipit qui temporibus dolor sed. Eaque atque et voluptatem dolorum illum. Commodi nam ex delectus et aut.','Cooking',296442.9), 
('Harum dolore quam mo','Eius qui sit doloribus harum eum. Impedit sequi aliquid sequi tempore quidem. Dolorem et est sint omnis. Aperiam porro nulla harum animi iusto.','Bike',3501845.9843072), 
('Cumque qui consequat','Veniam odio et quia ut quam et. Alias ea veniam voluptas.','Cooking',34731.336414), 
('Dolore suscipit quis','Doloribus temporibus atque velit veritatis dolor quae eius. Nesciunt debitis laudantium vero iure totam dolorum culpa voluptatibus. Error vel ipsum quis asperiores ratione. Blanditiis incidunt deserunt provident quos molestias assumenda et.','Cooking',657.22379569), 
('Aperiam commodi et n','Praesentium non tenetur a laudantium debitis. Perferendis nihil delectus deserunt natus voluptatem. Nihil qui quo omnis dignissimos consequatur.','Car',0.650011), 
('Cumque sit cupiditat','In est illo rerum voluptatem illo. Vel libero ut qui nulla et.','Cooking',236.55187), 
('Autem magnam tenetur','Distinctio ipsum accusamus eum. Mollitia quo consequatur maiores et. Id mollitia laudantium esse iusto sed error. Odit mollitia necessitatibus quia nostrum.','Cooking',310914.71556407), 
('Quod unde tempora te','Natus voluptatem eum voluptas rerum. Sit rem eos omnis enim doloremque cum debitis. Alias natus dolor dolorem sed omnis saepe qui.','Cooking',39934), 
('Nobis velit error ar','Sequi ipsam illo dolor quidem nihil quos. Corrupti consequatur assumenda et asperiores maxime vel. Dolor et praesentium consectetur sit unde est. Veritatis voluptatem ut similique vel commodi ex consequatur.','Cooking',224.5998545), 
('Quo qui consequatur ','Autem excepturi incidunt minima quo dicta mollitia repellendus sequi. Aliquid quaerat commodi explicabo ut dolor molestias. Asperiores dignissimos molestias dolores sed ut. Vitae et facilis blanditiis repellendus eaque.','Bike',6312.573475), 
('Omnis aut odit natus','Quo consequatur iusto quis voluptate qui provident molestias. Aliquid a voluptatem velit rerum provident. Reiciendis sunt perferendis ea ipsam.','Cooking',24076), 
('Tempora qui vel opti','Nostrum qui repudiandae tempora quod voluptatem vel doloremque. Autem et eligendi impedit quasi. Rerum praesentium aliquid quas qui sint.','Cooking',0.7635564), 
